split_seed,method,tau,delta,scale,validation_log_loss,test_log_loss,test_brier,test_accuracy,test_score_variance,solver_iterations,solver_residual,n_train,n_validation,n_test,candidate_count,selection_grid,model,pair,class_a,class_b,split_index
20270901,ERM-calibrated,0.001,0.0,19.999920318899036,0.001640754585917198,0.4293629405331222,0.022008049712721,0.975,4210.764194416213,181,1.2882421246944025e-10,480,120,200,11,expanded_tau,vit_b_16,car_truck,1,9,0
20270901,Matched,0.025430806348152438,0.0,1.8591409142295228,0.24157911802384643,0.2501166918028578,0.058875678887031845,0.97,2.6484538816735452,41,1.851045893411119e-12,480,120,200,0,analytic,vit_b_16,car_truck,1,9,0
20270902,SW-tuned,1e-05,2.0,1.0,0.03546752707031076,0.0730408196355175,0.0201307416772322,0.975,140.90033458098074,1721,9.009122438471409e-10,480,120,200,55,expanded_tau_x_delta,vit_b_16,car_truck,1,9,1
20270902,ERM-tuned,1e-05,0.0,1.0,0.03712469360588878,0.06659365046040029,0.019291513302978448,0.975,78.31235623457113,1661,7.80834368468731e-10,480,120,200,11,expanded_tau,vit_b_16,car_truck,1,9,1
20270902,ERM-calibrated,1e-05,0.0,1.3117526293880555,0.035757054368145615,0.07192292687888582,0.01960826317048084,0.975,134.75167673387696,1661,7.80834368468731e-10,480,120,200,11,expanded_tau,vit_b_16,car_truck,1,9,1
20270902,Matched,0.025430806348152438,0.0,1.8591409142295228,0.22182193089419536,0.24990054123434266,0.058503829959099835,0.97,2.6180687342826174,41,2.1129603158576235e-12,480,120,200,0,analytic,vit_b_16,car_truck,1,9,1
20270903,SW-tuned,0.0001,2.0,1.0,0.07207247917650778,0.07677727465977442,0.02229922396340223,0.97,67.94319323795139,561,6.610019736268313e-10,480,120,200,55,expanded_tau_x_delta,vit_b_16,car_truck,1,9,2
20270903,ERM-tuned,1e-05,0.0,1.0,0.07242249821130414,0.08021286801140605,0.023405967463055725,0.975,77.15648137384198,1661,8.641576641532011e-10,480,120,200,11,expanded_tau,vit_b_16,car_truck,1,9,2
20270903,ERM-calibrated,1e-05,0.0,0.9153064131877965,0.07199612741948085,0.07824083246075259,0.023183345948421773,0.975,64.64060678941593,1661,8.641576641532011e-10,480,120,200,11,expanded_tau,vit_b_16,car_truck,1,9,2
20270903,Matched,0.025430806348152438,0.0,1.8591409142295228,0.2687421895324457,0.24672911849568457,0.05765000355170487,0.97,2.706966850179226,41,2.094073318626382e-12,480,120,200,0,analytic,vit_b_16,car_truck,1,9,2
20270904,SW-tuned,0.0001,2.0,1.0,0.05402926933491095,0.0790926517559467,0.022614691448063145,0.975,63.6786363136198,561,5.941678304346781e-10,480,120,200,55,expanded_tau_x_delta,vit_b_16,car_truck,1,9,3
20270904,ERM-tuned,3e-05,0.0,1.0,0.05609430368399459,0.07849086480286481,0.02267098412523261,0.975,49.42500715313655,961,7.937125893638757e-10,480,120,200,11,expanded_tau,vit_b_16,car_truck,1,9,3
20270904,ERM-calibrated,0.001,0.0,2.8677989575948675,0.049230175649096666,0.0817146989645815,0.021202379480362556,0.97,85.31472490933868,161,9.978848276314203e-10,480,120,200,11,expanded_tau,vit_b_16,car_truck,1,9,3
