bandwidth,n,tau,delta,probe,population,true_second_moment,centered_true_variance,conditional_mean,nonlinear_bias,design_bias,label_mc,control_variate_covariance,remainder_rms,nonlinear_ci_low,nonlinear_ci_high,design_ci_low,design_ci_high,control_variate_ci_low,control_variate_ci_high,true_second_ci_low,true_second_ci_high
0.7,128,0.08,1.0,1,0.5273889537979283,0.48405635948937636,0.47551185347888103,0.5245096228791233,-0.007046785540875141,-0.002879330918804998,-0.03340647784887178,0.5174628373382482,0.0038609788760497372,-0.009756200315166245,-0.004759469018487644,-0.004921689564195734,-0.0009326633070443799,0.5139342220564123,0.5206006600693095,0.3680209746986584,0.6097946572297805
0.7,128,0.08,1.0,2,0.4748659525788333,0.42122844828331496,0.4242369095819687,0.4713998695970992,-0.006250707372768347,-0.00346608298173413,-0.04392071394101578,0.4651491622243309,0.0038609788760497372,-0.008033755226807233,-0.004511489696341162,-0.005405737090061014,-0.0015461889482378665,0.4627016301152234,0.4675501818328823,0.32425734383643356,0.524364879155236
0.7,256,0.02,0.0,0,2.7496256223873634,3.5053175460255614,3.5406409685599556,2.7547319077793095,0.059914986168701966,0.005106285391946179,0.6906706520775496,2.814646893948011,0.003634732575943965,0.03358942560367582,0.09614738629161823,-0.004124314819672485,0.013725740430646897,2.7841468348270664,2.853190354635516,2.5126339125269896,4.678557717907719
0.7,256,0.02,0.0,1,0.6333714970835536,0.9274642390601957,0.9330282843291856,0.6308782897599944,0.014659075990290586,-0.0024932073235591477,0.2819268733099106,0.645537365750285,0.003634732575943965,0.007887358598148535,0.023653389631368545,-0.005595616878628961,0.000839006287440183,0.6379372123934602,0.6549303145048412,0.6867717084932434,1.2036472597381025
0.7,256,0.02,0.0,2,0.6226866563504915,0.7409269209126269,0.7395262438378405,0.6224780359324711,0.01033376126876167,-0.00020862041802029773,0.10811512371139428,0.6328117972012328,0.003634732575943965,0.006351353755604322,0.015408385670722533,-0.003341610577138563,0.0028683784173760708,0.6277037101705883,0.6386564906298764,0.5390815282631577,0.9643818639405968
0.7,256,0.02,0.5,0,4.728393326843619,5.92952332924175,5.989303763173321,4.735587181738297,-9.937125768085642e-05,0.007193854894677649,1.1940355187611345,4.735487810480616,0.0025170298440332366,-0.005303247596521013,0.006895954406469863,-0.008540759461378026,0.021903529585048934,4.71876307443632,4.751805225112677,4.262669696914591,7.90590349696606
0.7,256,0.02,0.5,1,1.0724410662208406,1.5453456795913352,1.5547276270861567,1.067922282330764,-0.0012885173540936959,-0.004518783890076581,0.4787119146146646,1.0666337649766704,0.0025170298440332366,-0.0035953549052605634,0.001374060504224677,-0.009621480924092419,0.000995444683466782,1.0611701137213647,1.0721731408240016,1.1473379505659624,2.002370363001142
0.7,256,0.02,0.5,2,1.0527821919937403,1.234121819644983,1.2318393996950967,1.052045835572189,-0.000976988030785091,-0.0007363564215513985,0.18305297210357932,1.0510688475414038,0.0025170298440332366,-0.002247298157040129,0.0003828869952734624,-0.005895331490941657,0.004285716071990951,1.0455732947170615,1.0563451849671142,0.9009637793636421,1.6041868367052121
0.7,256,0.02,1.0,0,8.752536624192677,10.623672382083164,10.730871917712054,8.757895138813108,-0.37691975186517096,0.00535851462043194,2.242696995135225,8.38097538694794,0.014890351936722007,-0.5700028532878811,-0.2281626027432166,-0.022678743304416132,0.03175833101170327,8.191948409782087,8.525651493878359,7.658255208072818,14.064814125662398
0.7,256,0.02,1.0,1,1.8943955788410023,2.64815280413586,2.664791526781757,1.8851430175002508,-0.08938341522487865,-0.009252561340751397,0.8523932018604883,1.7957596022753726,0.014890351936722007,-0.13752506499165015,-0.05294694837774713,-0.017332655831808,-0.0006374021503971452,1.7492065385667872,1.8325284427514363,1.9824549843186683,3.4213322138124784
